# Residuals        
# Time             	p                  	Ux                 	Uy                 	Uz                 	k                  	epsilon            
190                	2.334377266070e-04	2.159194789830e-05	1.294054503170e-04	1.503472294510e-04	2.251546979310e-04	4.751298144490e-06
191                	2.206003155810e-04	2.045546071080e-05	1.210824468940e-04	1.423183786010e-04	2.122683449650e-04	4.515474155070e-06
192                	2.085033262030e-04	1.938126971770e-05	1.132179172220e-04	1.347254596450e-04	2.001776367560e-04	4.290741983490e-06
193                	1.970951983510e-04	1.836626207860e-05	1.057944799050e-04	1.275493004970e-04	1.888228207630e-04	4.076752653140e-06
194                	1.863574813980e-04	1.740697387230e-05	9.879953958740e-05	1.207687254490e-04	1.781456300030e-04	3.872901322130e-06
195                	1.762217506430e-04	1.650010733430e-05	9.221845396520e-05	1.143610478390e-04	1.681003111900e-04	3.678479618760e-06
196                	1.667029161530e-04	1.564281932820e-05	8.604212803130e-05	1.083044408100e-04	1.586510298580e-04	3.493094640120e-06
197                	1.577464080560e-04	1.483240775270e-05	8.025220455430e-05	1.025788812540e-04	1.497628038980e-04	3.316339315840e-06
198                	1.493326616310e-04	1.406623812840e-05	7.483148594210e-05	9.716668325640e-05	1.413980657010e-04	3.147851811960e-06
199                	1.413857502610e-04	1.334161277130e-05	6.976173651750e-05	9.205166189560e-05	1.335249923140e-04	2.987419066350e-06
200                	1.338895054530e-04	1.265620285040e-05	6.502726174140e-05	8.721840422790e-05	1.261120328560e-04	2.834718580760e-06
201                	1.268292052010e-04	1.200777153240e-05	6.060629536600e-05	8.265136601210e-05	1.191291483580e-04	2.689386623910e-06
202                	1.201670345600e-04	1.139433503080e-05	5.648413722210e-05	7.833570412670e-05	1.125537731910e-04	2.551260494040e-06
203                	1.138802774590e-04	1.081393818210e-05	5.264679345400e-05	7.425652247870e-05	1.063629779650e-04	2.419987889520e-06
204                	1.079402208800e-04	1.026472407450e-05	4.907474885270e-05	7.040024744400e-05	1.005343568480e-04	2.295267677610e-06
205                	1.023257910190e-04	9.744852709920e-06	4.575379939310e-05	6.675461039680e-05	9.504537521590e-05	2.176834526890e-06
