"nut","k","p","epsilon","U:0","U:1","U:2","vtkValidPointMask","Points:0","Points:1","Points:2"
2.11030e+01,2.46338e+00,-2.48113e+01,2.83355e-02,1.61238e+01,-2.27544e-01,1.91299e+00,1,5.81687e+05,4.78561e+06,1.09274e+03
2.13192e+01,2.47092e+00,-2.46330e+01,2.83252e-02,1.61299e+01,-1.99472e-01,1.92701e+00,1,5.81685e+05,4.78562e+06,1.09384e+03
2.52119e+01,2.51110e+00,-2.63121e+01,2.63797e-02,1.63477e+01,5.78190e-02,1.73389e+00,1,5.81684e+05,4.78565e+06,1.10417e+03
2.61022e+01,2.51229e+00,-2.70346e+01,2.58806e-02,1.64052e+01,9.35745e-02,1.65596e+00,1,5.81687e+05,4.78565e+06,1.10626e+03
2.65467e+01,2.50543e+00,-2.79136e+01,2.55663e-02,1.64567e+01,1.06081e-01,1.57115e+00,1,5.81693e+05,4.78565e+06,1.10782e+03
2.57431e+01,2.49406e+00,-2.78889e+01,2.59996e-02,1.64348e+01,6.81686e-02,1.59014e+00,1,5.81695e+05,4.78564e+06,1.10664e+03
2.26726e+01,2.53266e+00,-2.25991e+01,3.17098e-02,1.60533e+01,2.36526e-02,2.17335e+00,1,5.81661e+05,4.78566e+06,1.09444e+03
2.33955e+01,2.55875e+00,-2.29300e+01,2.82575e-02,1.61498e+01,8.24745e-02,2.08282e+00,1,5.81660e+05,4.78567e+06,1.09618e+03
2.52654e+01,2.56191e+00,-1.94589e+01,2.90256e-02,1.58999e+01,3.30459e-02,2.27342e+00,1,5.81644e+05,4.78568e+06,1.09379e+03
2.39072e+01,2.57388e+00,-2.14873e+01,2.78671e-02,1.60782e+01,9.11035e-02,2.16891e+00,1,5.81652e+05,4.78568e+06,1.09471e+03
2.62296e+01,2.57594e+00,-2.38397e+01,2.56321e-02,1.62488e+01,1.56054e-01,1.92326e+00,1,5.81663e+05,4.78568e+06,1.09975e+03
2.49742e+01,2.56343e+00,-2.37429e+01,2.67560e-02,1.62221e+01,1.19459e-01,1.96900e+00,1,5.81664e+05,4.78567e+06,1.09883e+03
3.03926e+01,2.61770e+00,-2.43419e+01,2.24297e-02,1.63460e+01,2.63653e-01,1.77938e+00,1,5.81660e+05,4.78570e+06,1.10364e+03
2.89665e+01,2.63201e+00,-2.31493e+01,2.33250e-02,1.62698e+01,2.68809e-01,1.93336e+00,1,5.81654e+05,4.78570e+06,1.10010e+03
2.96715e+01,2.65479e+00,-2.33160e+01,2.29538e-02,1.62965e+01,3.11954e-01,1.94082e+00,1,5.81653e+05,4.78570e+06,1.10031e+03
3.21306e+01,2.62956e+00,-2.51578e+01,2.12800e-02,1.64126e+01,2.90030e-01,1.67791e+00,1,5.81663e+05,4.78570e+06,1.10648e+03
3.14426e+01,2.61730e+00,-2.50444e+01,2.18479e-02,1.63981e+01,2.78502e-01,1.69971e+00,1,5.81664e+05,4.78570e+06,1.10596e+03
2.40037e+01,2.33580e+00,-4.44859e+00,2.20600e-02,1.43755e+01,-1.04651e+00,2.05916e+00,1,5.81612e+05,4.78554e+06,1.05140e+03
2.34363e+01,2.30784e+00,-4.73920e+00,2.23300e-02,1.43595e+01,-1.05749e+00,1.99714e+00,1,5.81614e+05,4.78554e+06,1.05029e+03
2.37329e+01,2.29806e+00,-3.93975e+00,2.16210e-02,1.42919e+01,-1.07199e+00,1.96052e+00,1,5.81611e+05,4.78554e+06,1.04876e+03
2.40335e+01,2.29317e+00,-2.66478e+00,2.07110e-02,1.41861e+01,-1.07485e+00,1.91012e+00,1,5.81603e+05,4.78554e+06,1.04707e+03
2.46057e+01,2.32284e+00,-2.31294e+00,2.11319e-02,1.42106e+01,-1.07384e+00,1.99588e+00,1,5.81603e+05,4.78554e+06,1.04869e+03
2.45848e+01,2.34290e+00,-2.96510e+00,2.11518e-02,1.42743e+01,-1.06372e+00,2.05117e+00,1,5.81606e+05,4.78555e+06,1.05031e+03
2.33154e+01,2.33483e+00,-8.59779e+00,2.45886e-02,1.46890e+01,-9.54320e-01,2.06327e+00,1,5.81628e+05,4.78554e+06,1.05746e+03
2.23403e+01,2.30642e+00,-9.06152e+00,2.58293e-02,1.46628e+01,-9.69374e-01,2.02566e+00,1,5.81631e+05,4.78554e+06,1.05548e+03
2.25869e+01,2.29746e+00,-8.28670e+00,2.50106e-02,1.46011e+01,-9.82756e-01,1.99213e+00,1,5.81628e+05,4.78554e+06,1.05361e+03
2.29465e+01,2.30188e+00,-6.39589e+00,2.37404e-02,1.44666e+01,-1.02025e+00,1.99083e+00,1,5.81620e+05,4.78554e+06,1.05125e+03
2.33486e+01,2.33085e+00,-6.46001e+00,2.36584e-02,1.45100e+01,-1.00897e+00,2.06012e+00,1,5.81620e+05,4.78554e+06,1.05374e+03
2.37489e+01,2.34494e+00,-7.24967e+00,2.34499e-02,1.46024e+01,-9.77315e-01,2.07745e+00,1,5.81623e+05,4.78555e+06,1.05594e+03
2.46862e+01,2.37194e+00,-6.85874e+00,2.23806e-02,1.46076e+01,-9.62553e-01,2.12718e+00,1,5.81620e+05,4.78555e+06,1.05709e+03
2.47927e+01,2.36431e+00,-4.79852e+00,2.18391e-02,1.44242e+01,-1.01171e+00,2.12362e+00,1,5.81612e+05,4.78555e+06,1.05376e+03
2.51783e+01,2.37860e+00,-5.56344e+00,2.16207e-02,1.45127e+01,-9.81536e-01,2.14260e+00,1,5.81615e+05,4.78555e+06,1.05587e+03
2.01459e+01,2.47301e+00,-1.65707e+01,2.96575e-02,1.44478e+01,-9.70703e-01,-1.55202e+00,1,5.81951e+05,4.78597e+06,1.04744e+03
2.02826e+01,2.46107e+00,-1.50769e+01,2.90708e-02,1.43716e+01,-9.68696e-01,-1.51587e+00,1,5.81959e+05,4.78597e+06,1.04592e+03
1.96544e+01,2.49680e+00,-1.52546e+01,3.09025e-02,1.43678e+01,-9.73359e-01,-1.57357e+00,1,5.81959e+05,4.78596e+06,1.04737e+03
1.94716e+01,2.51532e+00,-1.59261e+01,3.17041e-02,1.44050e+01,-9.72311e-01,-1.60823e+00,1,5.81956e+05,4.78596e+06,1.04860e+03
1.98177e+01,2.51175e+00,-1.70551e+01,3.12218e-02,1.44830e+01,-9.64664e-01,-1.61187e+00,1,5.81950e+05,4.78596e+06,1.04960e+03
2.00757e+01,2.48843e+00,-1.72202e+01,3.02228e-02,1.44890e+01,-9.67060e-01,-1.58052e+00,1,5.81948e+05,4.78597e+06,1.04877e+03
2.52666e+01,2.35709e+00,-1.78592e+01,2.17509e-02,1.54893e+01,-6.04402e-01,1.81454e+00,1,5.81668e+05,4.78555e+06,1.07548e+03
2.46206e+01,2.36223e+00,-1.63389e+01,2.22652e-02,1.53556e+01,-6.63942e-01,1.88858e+00,1,5.81660e+05,4.78555e+06,1.07306e+03
